locus_tag	gene	product	go_terms
EQU24_RS00740		phosphomannomutase/phosphoglucomutase	['GO:0046402', 'GO:0042121', 'GO:0009311', 'GO:0016866', 'GO:0046394', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0043167', 'GO:0044262', 'GO:0017144', 'GO:0000287', 'GO:0044264', 'GO:0005975', 'GO:0044238', 'GO:0043436', 'GO:0044419', 'GO:0016053', 'GO:0016021', 'GO:0006629', 'GO:0046401', 'GO:0034637', 'GO:0005488', 'GO:0004615', 'GO:0019752', 'GO:0051704', 'GO:1903509', 'GO:0016853', 'GO:0008610', 'GO:0008150', 'GO:0003674', 'GO:0000271', 'GO:0046872', 'GO:0043169', 'GO:0044260', 'GO:0004614', 'GO:0042120', 'GO:0034645', 'GO:0005976', 'GO:0009058', 'GO:1901135', 'GO:0044255', 'GO:0033692', 'GO:0009059', 'GO:1901576', 'GO:0009243', 'GO:0016868', 'GO:0009244', 'GO:0044283', 'GO:0003824', 'GO:0016051', 'GO:0008653', 'GO:0006082', 'GO:0009405', 'GO:0044281', 'GO:0009103', 'GO:0044237', 'GO:0009312', 'GO:1901137', 'GO:0071704', 'GO:0044249']
EQU24_RS00745	argB	acetylglutamate kinase	['GO:0006525', 'GO:0034618', 'GO:0016310', 'GO:0006520', 'GO:0016772', 'GO:0033554', 'GO:0016407', 'GO:0006796', 'GO:0046394', 'GO:0008152', 'GO:0004042', 'GO:0009064', 'GO:0009987', 'GO:0005886', 'GO:0043167', 'GO:0016597', 'GO:1901566', 'GO:0016020', 'GO:0044238', 'GO:0005524', 'GO:0003991', 'GO:0044464', 'GO:0043436', 'GO:0016053', 'GO:0030312', 'GO:0006793', 'GO:0016301', 'GO:0006526', 'GO:0005488', 'GO:0019752', 'GO:0051716', 'GO:1901564', 'GO:0005515', 'GO:0016410', 'GO:0016747', 'GO:0008652', 'GO:0008150', 'GO:0003674', 'GO:0005618', 'GO:0005737', 'GO:0043177', 'GO:0006807', 'GO:0043168', 'GO:0043169', 'GO:0009084', 'GO:0016746', 'GO:0050896', 'GO:0042802', 'GO:0006974', 'GO:0009058', 'GO:0040007', 'GO:0016740', 'GO:0005623', 'GO:0042450', 'GO:0071944', 'GO:0006950', 'GO:0036094', 'GO:1901576', 'GO:1901607', 'GO:0044283', 'GO:0003824', 'GO:1901605', 'GO:0006082', 'GO:0005575', 'GO:0044281', 'GO:0016774', 'GO:0031406', 'GO:0044237', 'GO:0071704', 'GO:0044249', 'GO:0008080']
EQU24_RS00750		DUF4124 domain-containing protein	[]
EQU24_RS00760		YggT family protein	['GO:0005623', 'GO:0071944', 'GO:0016020', 'GO:0044464', 'GO:0005886', 'GO:0005575', 'GO:0016021']
EQU24_RS00765		pyrroline-5-carboxylate reductase	['GO:0006520', 'GO:0005737', 'GO:0005622', 'GO:0006807', 'GO:0044424', 'GO:0004735', 'GO:0009084', 'GO:1901362', 'GO:0046394', 'GO:0042802', 'GO:0008152', 'GO:0016491', 'GO:0009064', 'GO:0009987', 'GO:0016645', 'GO:0006561', 'GO:0018130', 'GO:0016646', 'GO:0017144', 'GO:0005829', 'GO:0009058', 'GO:1901566', 'GO:0044238', 'GO:0044464', 'GO:0043436', 'GO:0005623', 'GO:0016053', 'GO:1901576', 'GO:1901607', 'GO:0044283', 'GO:0005488', 'GO:0003824', 'GO:0055114', 'GO:0019752', 'GO:0008150', 'GO:1901564', 'GO:1901605', 'GO:0055129', 'GO:0006082', 'GO:0008652', 'GO:0005515', 'GO:0005575', 'GO:0044281', 'GO:0006560', 'GO:0044237', 'GO:1901360', 'GO:0044444', 'GO:0071704', 'GO:0044249', 'GO:0046483', 'GO:0003674']
EQU24_RS00770		deoxyribodipyrimidine photo-lyase	['GO:0016829']
EQU24_RS00775		SDR family oxidoreductase	['GO:0016491', 'GO:0055114']
EQU24_RS00780		hypothetical protein	['GO:0016021', 'GO:0016020']
EQU24_RS00785		disulfide bond formation protein B	['GO:0022900', 'GO:0006457', 'GO:0005886', 'GO:0015035', 'GO:0009055', 'GO:0016021']
EQU24_RS00790		class I SAM-dependent methyltransferase	['GO:0008168', 'GO:0032259']
EQU24_RS00795		primosomal protein N'	['GO:0010212', 'GO:0006276', 'GO:0032392', 'GO:0006996', 'GO:0070035', 'GO:0003677', 'GO:0033554', 'GO:0042623', 'GO:0009314', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0140097', 'GO:0044238', 'GO:0005524', 'GO:0046677', 'GO:0006259', 'GO:1990077', 'GO:0090304', 'GO:0006260', 'GO:0071840', 'GO:0032508', 'GO:0051716', 'GO:0016817', 'GO:0016818', 'GO:1901360', 'GO:0010332', 'GO:0006302', 'GO:0043140', 'GO:0016462', 'GO:0008150', 'GO:0046483', 'GO:0003674', 'GO:0051276', 'GO:0006281', 'GO:0006310', 'GO:0006807', 'GO:0044260', 'GO:0008094', 'GO:0004386', 'GO:0050896', 'GO:0034645', 'GO:0006974', 'GO:0008026', 'GO:0042221', 'GO:0009058', 'GO:0034641', 'GO:0016787', 'GO:0017111', 'GO:0003678', 'GO:0016887', 'GO:0006950', 'GO:0009059', 'GO:1901576', 'GO:0008270', 'GO:0006261', 'GO:0006268', 'GO:0071103', 'GO:0003824', 'GO:0006139', 'GO:0006269', 'GO:0004003', 'GO:0044237', 'GO:0009628', 'GO:0043138', 'GO:0071704', 'GO:0044249', 'GO:0016043', 'GO:0006270']
EQU24_RS00800		arginine--tRNA ligase	['GO:0006520', 'GO:0006518', 'GO:0043038', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0005886', 'GO:1901566', 'GO:0044271', 'GO:0016020', 'GO:0044238', 'GO:0005524', 'GO:0044464', 'GO:0043436', 'GO:0090304', 'GO:0043604', 'GO:0019752', 'GO:1901564', 'GO:0010467', 'GO:0004814', 'GO:0006420', 'GO:0016070', 'GO:0043603', 'GO:0016874', 'GO:0043043', 'GO:1901360', 'GO:0044444', 'GO:0008150', 'GO:0044267', 'GO:0046483', 'GO:0003674', 'GO:0005737', 'GO:0006399', 'GO:0005622', 'GO:0006807', 'GO:0044260', 'GO:0044424', 'GO:0016875', 'GO:0034645', 'GO:0034660', 'GO:0140101', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0040007', 'GO:0005623', 'GO:0071944', 'GO:0009059', 'GO:1901576', 'GO:0004812', 'GO:0006412', 'GO:0003824', 'GO:0006139', 'GO:0006082', 'GO:0140098', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:0043039', 'GO:0071704', 'GO:0044249', 'GO:0019538', 'GO:0006418']
EQU24_RS00805		hypothetical protein	['GO:0042834', 'GO:0016021']
EQU24_RS00810		hypothetical protein	[]
EQU24_RS00815		DUF4276 family protein	[]
EQU24_RS00820		DUF4276 family protein	[]
EQU24_RS00825		AAA family ATPase	['GO:0005524']
EQU24_RS00830	trpC	indole-3-glycerol phosphate synthase TrpC	['GO:0016831', 'GO:0004425', 'GO:0016829', 'GO:0000162', 'GO:0016830', 'GO:0003824', 'GO:0003674']
EQU24_RS00835	trpD	anthranilate phosphoribosyltransferase	['GO:0006520', 'GO:0006586', 'GO:0044249', 'GO:0006807', 'GO:0046219', 'GO:0009072', 'GO:0016757', 'GO:0006568', 'GO:1901362', 'GO:0046394', 'GO:0006725', 'GO:0006576', 'GO:0008152', 'GO:0018130', 'GO:0042435', 'GO:0009987', 'GO:1901566', 'GO:0000287', 'GO:0009058', 'GO:0034641', 'GO:0044271', 'GO:0044238', 'GO:0016740', 'GO:0043436', 'GO:0016053', 'GO:0009308', 'GO:1901576', 'GO:1901607', 'GO:0019438', 'GO:0044283', 'GO:0044106', 'GO:0003824', 'GO:0019752', 'GO:0008150', 'GO:0042401', 'GO:1901564', 'GO:1901605', 'GO:0016763', 'GO:0009309', 'GO:0004048', 'GO:0006082', 'GO:0042430', 'GO:0008652', 'GO:0000162', 'GO:0044281', 'GO:0044237', 'GO:1901360', 'GO:0071704', 'GO:0009073', 'GO:0046483', 'GO:0003674']
EQU24_RS00840		aminodeoxychorismate/anthranilate synthase component II	['GO:0006520', 'GO:0006586', 'GO:0006732', 'GO:0046219', 'GO:0006568', 'GO:0042398', 'GO:0046394', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0006575', 'GO:1901566', 'GO:0044271', 'GO:0044238', 'GO:0044464', 'GO:0043436', 'GO:0016053', 'GO:0009308', 'GO:0006760', 'GO:0051186', 'GO:0043604', 'GO:0019438', 'GO:0044106', 'GO:0019752', 'GO:0046654', 'GO:1901564', 'GO:0043603', 'GO:0042558', 'GO:1901360', 'GO:0044444', 'GO:0008652', 'GO:0008150', 'GO:0046483', 'GO:0009396', 'GO:0032991', 'GO:0003674', 'GO:0009108', 'GO:0016769', 'GO:0005737', 'GO:0005622', 'GO:0044249', 'GO:0006807', 'GO:0044424', 'GO:0042559', 'GO:0009072', 'GO:0004049', 'GO:1901362', 'GO:0042435', 'GO:0006576', 'GO:0005950', 'GO:0018130', 'GO:0051188', 'GO:0009058', 'GO:0034641', 'GO:0008483', 'GO:0016740', 'GO:0005623', 'GO:0046653', 'GO:1902494', 'GO:1901576', 'GO:1901607', 'GO:0044283', 'GO:0003824', 'GO:0006541', 'GO:0042401', 'GO:1901605', 'GO:0009309', 'GO:0006082', 'GO:0042430', 'GO:0000162', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:0071704', 'GO:0009073', 'GO:0046820']
EQU24_RS00845		anthranilate synthase component I	['GO:0046872', 'GO:0004049', 'GO:0000162']
EQU24_RS00850		fumarylacetoacetate hydrolase family protein	['GO:0050385', 'GO:0008684', 'GO:0016787']
EQU24_RS00855		two-component sensor histidine kinase	['GO:0000155', 'GO:0000160', 'GO:0016020', 'GO:0023014', 'GO:0005524']
EQU24_RS00860		response regulator	['GO:0006355', 'GO:0003677', 'GO:0000160']
EQU24_RS00865	hemW	radical SAM family heme chaperone HemW	['GO:0033013', 'GO:0003674', 'GO:0004109', 'GO:0005737', 'GO:0046872', 'GO:0005622', 'GO:0006807', 'GO:0044424', 'GO:1901362', 'GO:0006725', 'GO:0008152', 'GO:0018130', 'GO:0033014', 'GO:0009987', 'GO:0006778', 'GO:0051188', 'GO:1901566', 'GO:0009058', 'GO:0034641', 'GO:0044271', 'GO:0044464', 'GO:0005623', 'GO:1901576', 'GO:0051536', 'GO:0051186', 'GO:0019438', 'GO:0005488', 'GO:0055114', 'GO:0008150', 'GO:1901564', 'GO:0051539', 'GO:0051540', 'GO:0005575', 'GO:0044237', 'GO:1901360', 'GO:0048037', 'GO:0071704', 'GO:0044249', 'GO:0046483', 'GO:0006779']
EQU24_RS00870	pyrE	orotate phosphoribosyltransferase	['GO:0006206', 'GO:0006221', 'GO:0006796', 'GO:0019637', 'GO:0006725', 'GO:0004588', 'GO:0008152', 'GO:0009987', 'GO:0009165', 'GO:0043167', 'GO:0009112', 'GO:1901566', 'GO:0000287', 'GO:0044271', 'GO:0044238', 'GO:0044464', 'GO:0046112', 'GO:0009218', 'GO:0006793', 'GO:0006220', 'GO:0019438', 'GO:0019693', 'GO:0005488', 'GO:0072528', 'GO:1901564', 'GO:0034654', 'GO:0006207', 'GO:1901360', 'GO:0044444', 'GO:0046390', 'GO:0008150', 'GO:0009116', 'GO:0006753', 'GO:0046483', 'GO:0003674', 'GO:0005737', 'GO:0046872', 'GO:0005622', 'GO:0006807', 'GO:0043169', 'GO:0009220', 'GO:0044424', 'GO:0016757', 'GO:0072527', 'GO:1901362', 'GO:0018130', 'GO:0009117', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:1901135', 'GO:1901293', 'GO:0016740', 'GO:0005623', 'GO:0090407', 'GO:0044205', 'GO:0009259', 'GO:1901576', 'GO:0055086', 'GO:0003824', 'GO:0006139', 'GO:0016763', 'GO:0019856', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:1901137', 'GO:0009260', 'GO:0071704', 'GO:0044249']
EQU24_RS00875		dynamin family protein	[]
EQU24_RS00880		hypothetical protein	[]
EQU24_RS00885	trmB	tRNA (guanosine(46)-N7)-methyltransferase TrmB	['GO:0032991', 'GO:0005737', 'GO:0006399', 'GO:0005622', 'GO:0008757', 'GO:0006807', 'GO:0034470', 'GO:0044260', 'GO:0008173', 'GO:0044424', 'GO:1990234', 'GO:0043414', 'GO:0034708', 'GO:0008168', 'GO:0008176', 'GO:0006725', 'GO:0001510', 'GO:0008152', 'GO:0034660', 'GO:0006400', 'GO:0009987', 'GO:0043170', 'GO:0140101', 'GO:0008175', 'GO:0034641', 'GO:0040007', 'GO:0044238', 'GO:0044464', 'GO:0016740', 'GO:0005623', 'GO:0090304', 'GO:0036265', 'GO:0106004', 'GO:1902494', 'GO:0008033', 'GO:0043412', 'GO:0016423', 'GO:0006396', 'GO:0003824', 'GO:0043527', 'GO:0006139', 'GO:0010467', 'GO:0016741', 'GO:0009451', 'GO:0016070', 'GO:0005575', 'GO:0030488', 'GO:0032259', 'GO:0140098', 'GO:0044237', 'GO:1901360', 'GO:0044444', 'GO:0071704', 'GO:0008150', 'GO:0046483', 'GO:0003674']
EQU24_RS00890	thiS	sulfur carrier protein ThiS	['GO:0005737', 'GO:0005622', 'GO:0006807', 'GO:0044424', 'GO:0009110', 'GO:0042724', 'GO:0072527', 'GO:1901362', 'GO:0006725', 'GO:0008152', 'GO:0018130', 'GO:0009987', 'GO:0006767', 'GO:0006772', 'GO:0006790', 'GO:0017144', 'GO:0005829', 'GO:0009058', 'GO:0034641', 'GO:0044271', 'GO:1901566', 'GO:0044464', 'GO:0005623', 'GO:1901576', 'GO:0009228', 'GO:0019438', 'GO:0044272', 'GO:0044283', 'GO:0003824', 'GO:0072528', 'GO:0042364', 'GO:0008150', 'GO:0042723', 'GO:1901564', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:0006766', 'GO:1901360', 'GO:0044444', 'GO:0071704', 'GO:0044249', 'GO:0046483', 'GO:0003674']
EQU24_RS00895	aroG	3-deoxy-7-phosphoheptulonate synthase AroG	['GO:0003674', 'GO:0006520', 'GO:0005737', 'GO:0005622', 'GO:0044249', 'GO:0006807', 'GO:0044424', 'GO:0009072', 'GO:1901362', 'GO:0046394', 'GO:0042802', 'GO:0006725', 'GO:0008152', 'GO:0009987', 'GO:0005829', 'GO:0009058', 'GO:1901566', 'GO:0009423', 'GO:0044238', 'GO:0044464', 'GO:0016740', 'GO:0005623', 'GO:0043436', 'GO:0016053', 'GO:1901576', 'GO:0019438', 'GO:0044283', 'GO:0005488', 'GO:0003824', 'GO:0019752', 'GO:0003849', 'GO:0008150', 'GO:1901564', 'GO:0006082', 'GO:0008652', 'GO:0005515', 'GO:0005575', 'GO:0044281', 'GO:0044237', 'GO:1901360', 'GO:0044444', 'GO:0071704', 'GO:0009073', 'GO:0016765']
EQU24_RS00900		ABC transporter ATP-binding protein	['GO:0042626', 'GO:0016887', 'GO:0055085', 'GO:0005524', 'GO:0016021']
EQU24_RS00905		DUF389 domain-containing protein	['GO:0003951', 'GO:0016310', 'GO:0016021']
EQU24_RS00910		DUF3301 domain-containing protein	['GO:0016020']
EQU24_RS00915		YbjQ family protein	[]
EQU24_RS00920		DUF1289 domain-containing protein	[]
EQU24_RS00925		hypothetical protein	['GO:0016021']
EQU24_RS00930		hypothetical protein	['GO:0016021']
EQU24_RS00940		hypothetical protein	['GO:0016021']
EQU24_RS00945		metal-binding protein	[]
EQU24_RS00950		hypothetical protein	['GO:0016021']
EQU24_RS00955		hypothetical protein	['GO:0016021']
EQU24_RS00960		copper-translocating P-type ATPase	['GO:0005524', 'GO:0016787', 'GO:0008551', 'GO:0070574', 'GO:0005886', 'GO:0046872', 'GO:0016021']
EQU24_RS00965		sulfite exporter TauE/SafE family protein	['GO:0016021']
EQU24_RS00970		1-acyl-sn-glycerol-3-phosphate acyltransferase	['GO:0016746', 'GO:0016021']
EQU24_RS00975	mepA	penicillin-insensitive murein endopeptidase	['GO:0046872', 'GO:0008237', 'GO:0006807', 'GO:0044260', 'GO:0044038', 'GO:0030288', 'GO:0004175', 'GO:0042493', 'GO:0009252', 'GO:0006023', 'GO:0006024', 'GO:0050896', 'GO:0034645', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0006508', 'GO:0008233', 'GO:0042221', 'GO:0044036', 'GO:1901566', 'GO:0009058', 'GO:0016787', 'GO:0044238', 'GO:1901135', 'GO:0071554', 'GO:0006022', 'GO:0071840', 'GO:0009059', 'GO:1901576', 'GO:0140096', 'GO:0004252', 'GO:0003824', 'GO:0008150', 'GO:0044085', 'GO:0070011', 'GO:1901564', 'GO:0042546', 'GO:0030203', 'GO:0044237', 'GO:0009273', 'GO:0000270', 'GO:1901137', 'GO:0071704', 'GO:0044249', 'GO:0070589', 'GO:0019538', 'GO:0003674']
EQU24_RS00980		thiopurine S-methyltransferase	['GO:0005737', 'GO:0008757', 'GO:0008168', 'GO:0050896', 'GO:0003824', 'GO:0008152', 'GO:0010035', 'GO:0016741', 'GO:0008119', 'GO:0032259', 'GO:0042221', 'GO:0010038', 'GO:0046690', 'GO:0008172', 'GO:0016740', 'GO:0008150', 'GO:0003674']
EQU24_RS00985		hypothetical protein	['GO:0016829']
EQU24_RS00990	aqpZ	aquaporin Z	['GO:0006810', 'GO:0022838', 'GO:0005215', 'GO:0051179', 'GO:0005372', 'GO:0044425', 'GO:0090066', 'GO:0050896', 'GO:0042802', 'GO:0042592', 'GO:0065007', 'GO:0009987', 'GO:0019725', 'GO:0044459', 'GO:0065008', 'GO:0005886', 'GO:0005887', 'GO:0016020', 'GO:0044464', 'GO:0006970', 'GO:0005623', 'GO:0006833', 'GO:0071944', 'GO:0006950', 'GO:0015267', 'GO:0006884', 'GO:0022857', 'GO:0071840', 'GO:0016021', 'GO:0022803', 'GO:0042044', 'GO:0015250', 'GO:0005488', 'GO:0031224', 'GO:0055085', 'GO:0008361', 'GO:0032535', 'GO:0051234', 'GO:0005515', 'GO:0015318', 'GO:0005575', 'GO:0030104', 'GO:0048878', 'GO:0055082', 'GO:0009628', 'GO:0031226', 'GO:0008150', 'GO:0009992', 'GO:0016043', 'GO:0003674']
EQU24_RS00995		DUF1311 domain-containing protein	[]
EQU24_RS01000		hypothetical protein	['GO:0016021', 'GO:0016020']
EQU24_RS01005		hypothetical protein	['GO:0016021']
EQU24_RS01010		glycosyltransferase	['GO:0016021', 'GO:0004553', 'GO:0005975', 'GO:0016740']
EQU24_RS01015		site-specific integrase	['GO:0010212', 'GO:0015074', 'GO:0006310', 'GO:0010165', 'GO:0003677', 'GO:0009628', 'GO:0009314', 'GO:0050896', 'GO:0008150']
EQU24_RS01020		DUF4325 domain-containing protein	['GO:0016301', 'GO:0016310']
EQU24_RS01025		ISL3 family transposase	[]
EQU24_RS01030		hypothetical protein	[]
EQU24_RS01035		hypothetical protein	['GO:0005515']
EQU24_RS01040		hypothetical protein	[]
EQU24_RS01050		GNAT family N-acetyltransferase	['GO:0008080']
EQU24_RS01055		Tn3 family transposase	['GO:0006313', 'GO:0004803']
EQU24_RS01070		IS66 family transposase	[]
EQU24_RS01075		cell envelope integrity protein TolA	['GO:0016021']
EQU24_RS01080		hypothetical protein	[]
EQU24_RS01085		lactoylglutathione lyase	['GO:0051213', 'GO:0055114']
EQU24_RS01090		hypothetical protein	[]
EQU24_RS01095		prepilin-type N-terminal cleavage/methylation domain-containing protein	['GO:0015628', 'GO:0015627', 'GO:0016021']
EQU24_RS01100		hypothetical protein	['GO:0016021']
EQU24_RS01105		hypothetical protein	['GO:0016020']
EQU24_RS01110		hypothetical protein	['GO:0016021']
EQU24_RS01115		hypothetical protein	[]
EQU24_RS01120		hypothetical protein	[]
EQU24_RS01125		hypothetical protein	[]
EQU24_RS01130		ATP-binding protein	['GO:0005623', 'GO:0005737', 'GO:0005622', 'GO:0005575', 'GO:0044424', 'GO:0016021', 'GO:0005829', 'GO:0044444', 'GO:0005524', 'GO:0044464']
EQU24_RS01135		hypothetical protein	[]
EQU24_RS01140		metal-dependent hydrolase	['GO:0071944', 'GO:0006950', 'GO:0071496', 'GO:0016021', 'GO:0009991', 'GO:0033554', 'GO:0051716', 'GO:0050896', 'GO:0008150', 'GO:0009605', 'GO:0007154', 'GO:0006974', 'GO:0031668', 'GO:0009987', 'GO:0005886', 'GO:0005575', 'GO:0016787', 'GO:0016020', 'GO:0044464', 'GO:0005623', 'GO:0009432']
EQU24_RS01145		3'-5' exonuclease	['GO:0003676', 'GO:0004527', 'GO:0090305']
EQU24_RS01150		hypothetical protein	[]
EQU24_RS01155		hypothetical protein	[]
EQU24_RS01160		DUF5063 domain-containing protein	[]
EQU24_RS01165		hypothetical protein	[]
EQU24_RS01170		Y-family DNA polymerase	['GO:0016772', 'GO:1990234', 'GO:0003677', 'GO:0033554', 'GO:0042623', 'GO:0009605', 'GO:0006301', 'GO:0008152', 'GO:0006725', 'GO:0009987', 'GO:0043170', 'GO:0140097', 'GO:0005886', 'GO:0019985', 'GO:0044271', 'GO:0044238', 'GO:0016020', 'GO:0044464', 'GO:0006259', 'GO:0090304', 'GO:0016779', 'GO:0016021', 'GO:0034061', 'GO:0097159', 'GO:0019438', 'GO:0051716', 'GO:0005488', 'GO:0034654', 'GO:0016817', 'GO:1901363', 'GO:0009355', 'GO:0016818', 'GO:1901360', 'GO:0016462', 'GO:0008150', 'GO:0042575', 'GO:0046483', 'GO:0003674', 'GO:0032991', 'GO:0003697', 'GO:0006281', 'GO:0005622', 'GO:0071496', 'GO:0000731', 'GO:0044260', 'GO:0044424', 'GO:0006807', 'GO:0008094', 'GO:0071897', 'GO:0044425', 'GO:1901362', 'GO:0050896', 'GO:0034645', 'GO:0006974', 'GO:0018130', 'GO:0003676', 'GO:0009058', 'GO:0034641', 'GO:0017111', 'GO:0016787', 'GO:0016740', 'GO:0005623', 'GO:0009432', 'GO:0016887', 'GO:0071944', 'GO:0006950', 'GO:1902494', 'GO:1901576', 'GO:0009059', 'GO:0009991', 'GO:0003824', 'GO:0003887', 'GO:0031224', 'GO:0007154', 'GO:0006139', 'GO:0031668', 'GO:0005575', 'GO:0044237', 'GO:0061695', 'GO:0003684', 'GO:0071704', 'GO:0044249']
EQU24_RS01175	umuD	translesion error-prone DNA polymerase V autoproteolytic subunit	['GO:0003677', 'GO:0006281', 'GO:0016787', 'GO:0006355', 'GO:0009432']
EQU24_RS01180		helix-turn-helix domain-containing protein	['GO:0006355', 'GO:0003677', 'GO:0043565']
EQU24_RS01185		hypothetical protein	['GO:0016021']
EQU24_RS01190		hypothetical protein	['GO:0016021']
EQU24_RS01195		hypothetical protein	['GO:0016021']
EQU24_RS01200		hypothetical protein	['GO:0016021']
EQU24_RS01205		hypothetical protein	['GO:0016021']
EQU24_RS01210		recombinase family protein	['GO:0006355', 'GO:0003677', 'GO:0006310', 'GO:0000150']
EQU24_RS01215		IS66 family transposase	[]
EQU24_RS01220		hypothetical protein	[]
EQU24_RS01225		hypothetical protein	[]
EQU24_RS01230		hypothetical protein	[]
EQU24_RS01235		hypothetical protein	['GO:0016301', 'GO:0016310']
EQU24_RS01240		hypothetical protein	[]
EQU24_RS01245		helix-turn-helix domain-containing protein	['GO:0003677']
EQU24_RS01250		hypothetical protein	[]
EQU24_RS01255		hypothetical protein	[]
EQU24_RS01260		hypothetical protein	[]
EQU24_RS01265		hypothetical protein	[]
EQU24_RS01270		hypothetical protein	['GO:0016021']
EQU24_RS01280		ribbon-helix-helix protein, CopG family	['GO:0006355']
EQU24_RS01285		DNA cytosine methyltransferase	['GO:0003677', 'GO:0046982', 'GO:0005634', 'GO:0003886', 'GO:0000786', 'GO:0090116']
EQU24_RS01290		very short patch repair endonuclease	['GO:0006281', 'GO:0003674', 'GO:0006807', 'GO:0044260', 'GO:0004520', 'GO:0003677', 'GO:0006298', 'GO:0004519', 'GO:0033554', 'GO:0050896', 'GO:0006725', 'GO:0006974', 'GO:0008152', 'GO:0009987', 'GO:0043170', 'GO:0140097', 'GO:0003676', 'GO:0016788', 'GO:0034641', 'GO:0004536', 'GO:0016787', 'GO:0044238', 'GO:0006259', 'GO:0090304', 'GO:0004518', 'GO:0043765', 'GO:0006950', 'GO:0097159', 'GO:0005488', 'GO:0003824', 'GO:0051716', 'GO:0006139', 'GO:1901363', 'GO:0044237', 'GO:1901360', 'GO:0071704', 'GO:0008150', 'GO:0046483', 'GO:0090305']
EQU24_RS01295		helicase	['GO:0005524', 'GO:0004386']
EQU24_RS01305		IS66 family transposase	[]
EQU24_RS01310		hypothetical protein	['GO:0003824']
EQU24_RS01315		RNA-directed DNA polymerase	['GO:0003964', 'GO:0006278']
EQU24_RS01320		hypothetical protein	['GO:0004386']
EQU24_RS01325		DUF1998 domain-containing protein	[]
EQU24_RS01330		phospholipase	['GO:0003824']
EQU24_RS01335		hypothetical protein	[]
EQU24_RS01340		hypothetical protein	['GO:0016787']
EQU24_RS01345		type II toxin-antitoxin system HipA family toxin	['GO:0016301', 'GO:0016310']
EQU24_RS01350		helix-turn-helix transcriptional regulator	['GO:0003677']
EQU24_RS01355		hypothetical protein	[]
EQU24_RS01360		AAA family ATPase	['GO:0006508', 'GO:0005524', 'GO:0004176', 'GO:0004252', 'GO:0030163']
EQU24_RS01365		hypothetical protein	[]
EQU24_RS01370			[]
EQU24_RS01375		hypothetical protein	[]
EQU24_RS01385	lexA	transcriptional repressor LexA	['GO:0010604', 'GO:1903506', 'GO:2000112', 'GO:0001067', 'GO:1990837', 'GO:0010558', 'GO:0009891', 'GO:0003677', 'GO:0045935', 'GO:0033554', 'GO:0010468', 'GO:0009605', 'GO:0080090', 'GO:2001141', 'GO:0009987', 'GO:0031325', 'GO:0051253', 'GO:1903507', 'GO:0048519', 'GO:0050789', 'GO:0031324', 'GO:1903508', 'GO:1902679', 'GO:0140110', 'GO:0006260', 'GO:0044212', 'GO:0045934', 'GO:0051252', 'GO:0031328', 'GO:0097159', 'GO:0031327', 'GO:0051716', 'GO:0005488', 'GO:0051171', 'GO:0019219', 'GO:0006355', 'GO:0031326', 'GO:0000976', 'GO:1901363', 'GO:1902680', 'GO:0060255', 'GO:0048518', 'GO:0008150', 'GO:0050794', 'GO:0032991', 'GO:0003674', 'GO:0048522', 'GO:0006281', 'GO:0009892', 'GO:0010556', 'GO:0071496', 'GO:2000113', 'GO:0001217', 'GO:0050896', 'GO:0003700', 'GO:0010628', 'GO:0006974', 'GO:0051172', 'GO:0043565', 'GO:0065007', 'GO:0006508', 'GO:0003676', 'GO:0045893', 'GO:0045892', 'GO:0010557', 'GO:0009432', 'GO:0051173', 'GO:0031323', 'GO:0006950', 'GO:0009889', 'GO:0010605', 'GO:0009991', 'GO:0010629', 'GO:0003690', 'GO:0032993', 'GO:0051254', 'GO:0004252', 'GO:0007154', 'GO:0031668', 'GO:0005575', 'GO:0019222', 'GO:0048523', 'GO:0009890', 'GO:0001130', 'GO:0009893']
EQU24_RS01390		hypothetical protein	[]
EQU24_RS01395		hypothetical protein	['GO:0003677']
EQU24_RS01410		hypothetical protein	['GO:0016021']
EQU24_RS01415		hypothetical protein	['GO:0016021']
EQU24_RS01420		alpha/beta hydrolase	['GO:0016787']
EQU24_RS01425		TIGR02281 family clan AA aspartic protease	['GO:0004190', 'GO:0006508']
EQU24_RS01430		sodium-translocating pyrophosphatase	['GO:0006814', 'GO:0009678', 'GO:0000287', 'GO:0004427', 'GO:1902600', 'GO:0005887', 'GO:0030955']
EQU24_RS01435		hypothetical protein	[]
EQU24_RS01440		hypothetical protein	['GO:0016021']
EQU24_RS01445		ISAs1 family transposase	['GO:0006313', 'GO:0003677', 'GO:0004803']
EQU24_RS01450		DUF4338 domain-containing protein	[]
EQU24_RS01455		formate dehydrogenase subunit delta	['GO:0016491', 'GO:0055114']
